"","Metadata_Slide","Metadata_Stiffness","Metadata_Scene","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Nuclei","logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"2469","08","25kPa",2,"E1","05","10 uM","07","75/25","Hyaluronic AcidFibronectin","HAFN",13,2.56494935746154,0.110720699231102,0.0245518722100824,0.0931071796669717,0.0213237807185611,0.0402098499728361,0.0253146713142435,0.0381916373997596,0.0225404282875801,0.0958719594508175,0.0292043765073874,0.075978900716047,0.0244747721721582
"2470","08","25kPa",2,"E1","05","10 uM","08","25/75","Collagen IVFibronectin","C4FN",242,5.48893772615669,0.0875876717101217,0.0268066445438963,0.0744264357395039,0.0222050016744538,0.0279971453504826,0.0159725167934026,0.0282908537175826,0.0135784382106594,0.0500081267906243,0.0148233240229514,0.0387253685670819,0.0108809731135248
"2471","08","25kPa",2,"E1","05","10 uM","09","25/75","Hyaluronic AcidOsteopontin","HAOPN",124,4.82028156560504,0.110456101178954,0.0287225607289902,0.093265745894764,0.0246110426761371,0.0222492312094493,0.0141229086594698,0.0237761577591432,0.0116408542585993,0.0481241346641452,0.0215729374689466,0.0378092453588738,0.0163405794455599
"2472","08","25kPa",2,"E1","05","10 uM","10","75/25","DecorinGalectin 3","DNG3",112,4.71849887129509,0.0768894546480653,0.0317025860760777,0.067194716756176,0.024632960057404,0.012269318197284,0.0113245949666997,0.0163408032446224,0.00930459355092934,0.0504291761191642,0.0337048529052725,0.0395911090373965,0.0258448358136193
"2473","08","25kPa",2,"E1","05","10 uM","11","25/75","Collagen ILaminin","C1LN",92,4.52178857704904,0.0928593985801049,0.0275573693761148,0.0786535314954016,0.0229781738308224,0.0319917946270261,0.0141718662588761,0.031560859896196,0.0120867642248064,0.0589060679301787,0.0178162577941461,0.0454019265076792,0.0135731605787925
"2474","08","25kPa",2,"E1","05","10 uM","12","75/25","Hyaluronic AcidOsteopontin","HAOPN",7,1.94591014905531,0.0724814935301583,0.00915397539175978,0.0619597077903221,0.00669332043938047,0.0277185877637848,0.0138021564968154,0.0278491541680657,0.0116702818996923,0.0444248382669883,0.0153494608318539,0.0349087728222948,0.0112644803739934
"2475","08","25kPa",2,"E1","06","10 uM","02","75/25","OsteopontinDecorin","OPNDN",56,4.02535169073515,0.0340525243577728,0.00195359951525445,0.0337351026289689,0.00183321830785964,0.00177810948239096,0.000880881883324387,0.00177632108281515,0.00105747139797961,0.0463666667433509,0.00564921537184135,0.0358320126378448,0.00384864547975097
"2476","08","25kPa",2,"E1","06","10 uM","03","25/75","Tenascin CGalectin 3","TCG3",4,1.38629436111989,0.111199346072846,0.0154333894805792,0.0931714417485273,0.013563475668699,0.0400155475721965,0.0112622549422544,0.0383165194635062,0.00967789083254052,0.134609635596535,0.0210203596097042,0.108898856100765,0.017881265577918
"2477","08","25kPa",2,"E1","06","10 uM","04","50/50","Tenascin CFibronectin","TCFN",1,0,0.0997716384270344,NA,0.0831667840481755,NA,0.0315893199224605,NA,0.0310806858485477,NA,0.153964197560065,NA,0.12535651727044,NA
"2478","08","25kPa",2,"E1","06","10 uM","05","75/25","Tenascin CGalectin 3","TCG3",3,1.09861228866811,0.0931366002351836,0.0205546177759784,0.0780466597421526,0.0172656507716288,0.0324195499824458,0.00615647431445811,0.0317877652996006,0.00529051417360849,0.0979085548540492,0.0117607320166191,0.0770337023838499,0.0104713945704759
"2479","08","25kPa",2,"E1","06","10 uM","06","25/75","Collagen ITenascin C","C1TC",44,3.78418963391826,0.0606249223725227,0.0333049472859624,0.055077935970388,0.0252789474912639,0.0160391647834407,0.0269051758532583,0.0150546826417589,0.0248899970814129,0.044321296607747,0.0382150055935326,0.035888283349833,0.0295963821566389
