,Metadata_Stiffness,Condition,Metadata_Treatment,Mean_PXR,Mean_Vim,Mean_Ecad,Rank_PXR,Rank_Vim,Rank_Ecad,
219,1kPa,75OPN_25DN,10 uM,0.133358383,0.132113043,0.050680879,,,,
22,1kPa,25C1_75DN,DMSO,0.205604826,0.106684072,0.124257751,7,136,4,
221,1kPa,75OPN_25FN,10 uM,0.155039261,0.113893557,0.057389755,,,,
262,25kPa,25C1_75HA,DMSO,0.150218543,0.106483937,0.085343511,141,137,117,
223,1kPa,75OPN_25G3,10 uM,0.110746269,0.086326775,0.046496871,,,,
456,25kPa,75OPN_25FN,DMSO,0.135520119,0.106167132,0.068679617,244,139,198,
225,1kPa,75TC_25DN,10 uM,0.108813996,0.069869125,0.031266612,,,,
330,25kPa,50C1_50FN,DMSO,0.161098509,0.105998887,0.093038689,98,140,74,
227,1kPa,75TC_25FN,10 uM,0.14827924,0.102454679,0.044390639,,,,
318,25kPa,25TC_75FN,DMSO,0.123034389,0.105912602,0.066208893,340,141,211,
229,1kPa,75TC_25G3,10 uM,0.133586651,0.082252278,0.055052712,,,,
10,1kPa,100G3,DMSO,0.161926403,0.105767337,0.087993831,93,142,97,
231,1kPa,75TC_25HA,10 uM,0.141802148,0.103255487,0.056542007,,,,
24,1kPa,25C1_75FN,DMSO,0.176656582,0.10568731,0.101640324,42,143,39,
233,1kPa,75TC_25OPN,10 uM,0.126078364,0.092366463,0.05037181,,,,
232,1kPa,75TC_25HA,DMSO,0.191308391,0.105643439,0.107538683,22,144,23,
235,25kPa,100C1,10 uM,0.117185053,0.068955939,0.045553225,,,,
332,25kPa,50C1_50G3,DMSO,0.166226337,0.105541329,0.100729159,76,145,46,
237,25kPa,100C4,10 uM,0.118660567,0.081562223,0.049663038,,,,
172,1kPa,75C1_25HA,DMSO,0.194433562,0.105391399,0.123397418,17,146,5,
239,25kPa,100DN,10 uM,0.122030537,0.06089873,0.050890707,,,,
432,25kPa,75G3_25FN,DMSO,0.147524752,0.105216352,0.089006469,161,147,90,
241,25kPa,100FN,10 uM,0.129747181,0.096594029,0.050019999,,,,
222,1kPa,75OPN_25FN,DMSO,0.19111207,0.105088679,0.108457622,23,148,22,
243,25kPa,100G3,10 uM,0.103565215,0.06749364,0.035145918,,,,
416,25kPa,75C4_25FN,DMSO,0.143060088,0.104994215,0.083461058,198,149,129,
245,25kPa,100HA,10 uM,0.130748737,0.121727095,0.045194105,,,,
60,1kPa,25HA_75G3,DMSO,0.172400772,0.104594697,0.10911407,51,150,18,
247,25kPa,100LN,10 uM,0.10957478,0.117534964,0.041040054,,,,
176,1kPa,75C1_25OPN,DMSO,0.18220556,0.104029417,0.107263092,35,152,24,
249,25kPa,100OPN,10 uM,0.113184231,0.056256372,0.042183796,,,,
464,25kPa,75TC_25G3,DMSO,0.151616512,0.103948974,0.069129768,135,153,196,
251,25kPa,100TC,10 uM,0.117810178,0.062175454,0.052922895,,,,
310,25kPa,25OPN_75DN,DMSO,0.12093149,0.103914056,0.054253886,355,154,291,
253,25kPa,25C1_75C4,10 uM,0.119632317,0.081117607,0.053028894,,,,
426,25kPa,75C4_25TC,DMSO,0.140551947,0.103671603,0.076288801,220,155,170,
255,25kPa,25C1_75DN,10 uM,0.129418504,0.066955045,0.053651411,,,,
114,1kPa,50C4_50HA,DMSO,0.152366941,0.103651306,0.08409253,133,156,123,
257,25kPa,25C1_75FN,10 uM,0.116677085,0.068540492,0.065625227,,,,
230,1kPa,75TC_25G3,DMSO,0.208603033,0.1032499,0.106342474,5,159,26,
259,25kPa,25C1_75G3,10 uM,0.141981321,0.092173929,0.063685687,,,,
228,1kPa,75TC_25FN,DMSO,0.168941444,0.103206617,0.080296729,64,160,149,
261,25kPa,25C1_75HA,10 uM,0.129940929,0.063935048,0.055503289,,,,
412,25kPa,75C1_25TC,DMSO,0.155209921,0.103110386,0.088472758,113,161,93,
263,25kPa,25C1_75LN,10 uM,0.126102205,0.065642106,0.058262638,,,,
4,1kPa,100C4,DMSO,0.16259911,0.10299224,0.087858651,90,163,99,
265,25kPa,25C1_75OPN,10 uM,0.113722048,0.057472283,0.043025806,,,,
30,1kPa,25C1_75LN,DMSO,0.189776536,0.102881496,0.108936643,26,164,19,
267,25kPa,25C1_75TC,10 uM,0.127131964,0.074511808,0.048651123,,,,
428,25kPa,75DN_25FN,DMSO,0.124164777,0.102624737,0.062216098,333,165,230,
269,25kPa,25C4_75DN,10 uM,0.103675687,0.052584481,0.041119447,,,,
16,1kPa,100OPN,DMSO,0.18621671,0.102401535,0.114925826,28,167,12,
271,25kPa,25C4_75FN,10 uM,0.124328072,0.061824527,0.060679783,,,,
2,1kPa,100C1,DMSO,0.152832171,0.102357436,0.092782875,130,168,76,
273,25kPa,25C4_75G3,10 uM,0.121055469,0.061771527,0.0544608,,,,
324,25kPa,25TC_75OPN,DMSO,0.147400025,0.102355963,0.064057693,164,169,221,
275,25kPa,25C4_75HA,10 uM,0.130819795,0.077486804,0.05626354,,,,
406,25kPa,75C1_25HA,DMSO,0.15513386,0.102222683,0.089100116,114,171,89,
277,25kPa,25C4_75LN,10 uM,0.125290252,0.065133397,0.051143334,,,,
154,1kPa,50TC_50DN,DMSO,0.120337514,0.101822349,0.058253532,357,172,259,
279,25kPa,25C4_75OPN,10 uM,0.119609014,0.064484296,0.056705467,,,,
132,1kPa,50HA_50G3,DMSO,0.158131037,0.101608803,0.084076729,105,173,124,
281,25kPa,25C4_75TC,10 uM,0.114889056,0.060420737,0.048016954,,,,
50,1kPa,25DN_75FN,DMSO,0.170820207,0.10133946,0.089406702,56,175,86,
283,25kPa,25DN_75FN,10 uM,0.11615659,0.058927024,0.060320673,,,,
28,1kPa,25C1_75HA,DMSO,0.190115751,0.101296344,0.108814735,25,176,20,
285,25kPa,25DN_75G3,10 uM,0.107399678,0.066680449,0.034254133,,,,
66,1kPa,25LN_75FN,DMSO,0.172666287,0.101132858,0.093618545,48,178,72,
287,25kPa,25G3_75FN,10 uM,0.137704173,0.087953889,0.054121462,,,,
90,1kPa,25TC_75OPN,DMSO,0.140948062,0.101131175,0.090846008,215,179,81,
289,25kPa,25HA_75DN,10 uM,0.091532088,0.061284082,0.034538405,,,,
276,25kPa,25C4_75HA,DMSO,0.133052787,0.10110739,0.065373467,265,180,216,
291,25kPa,25HA_75FN,10 uM,0.116129737,0.083405124,0.045200692,,,,
54,1kPa,25G3_75FN,DMSO,0.148756461,0.100425044,0.082381602,151,181,136,
293,25kPa,25HA_75G3,10 uM,0.126429051,0.083392955,0.053974944,,,,
92,1kPa,50C1_50C4,DMSO,0.180046266,0.100303917,0.105322347,36,182,29,
295,25kPa,25HA_75OPN,10 uM,0.107197879,0.060925925,0.039904143,,,,
76,1kPa,25OPN_75DN,DMSO,0.161325477,0.100265023,0.092181724,96,184,77,
297,25kPa,25LN_75DN,10 uM,0.117711941,0.110508832,0.050910819,,,,
342,25kPa,50C4_50DN,DMSO,0.147452307,0.100085369,0.073898034,163,187,182,
299,25kPa,25LN_75FN,10 uM,0.119808038,0.082024652,0.045169205,,,,
178,1kPa,75C1_25TC,DMSO,0.176211759,0.100054663,0.109679587,43,188,17,
301,25kPa,25LN_75G3,10 uM,0.112420981,0.087290965,0.043150456,,,,
250,25kPa,100OPN,DMSO,0.129480824,0.10001572,0.075151907,294,189,175,
303,25kPa,25LN_75HA,10 uM,0.120751542,0.070059242,0.050422456,,,,
80,1kPa,25OPN_75G3,DMSO,0.134790796,0.099695661,0.087872425,247,190,98,
305,25kPa,25LN_75OPN,10 uM,0.121713905,0.063716422,0.044756292,,,,
226,1kPa,75TC_25DN,DMSO,0.149160064,0.099600597,0.082387668,145,191,135,
307,25kPa,25LN_75TC,10 uM,0.100685241,0.054205617,0.038016842,,,,
316,25kPa,25TC_75DN,DMSO,0.118902029,0.099368758,0.063446155,370,193,227,
309,25kPa,25OPN_75DN,10 uM,0.124656741,0.065382425,0.043649496,,,,
82,1kPa,25TC_75DN,DMSO,0.165406502,0.099279827,0.092932707,78,194,75,
311,25kPa,25OPN_75FN,10 uM,0.103211926,0.060235291,0.035202178,,,,
84,1kPa,25TC_75FN,DMSO,0.155413354,0.099031817,0.082781034,111,195,134,
313,25kPa,25OPN_75G3,10 uM,0.110566321,0.061527679,0.050003404,,,,
52,1kPa,25DN_75G3,DMSO,0.165109351,0.098916783,0.099126244,81,196,50,
