"","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"861","25kPa","E2","09","10 uM","06","75/25","Collagen IVDecorin","C4DN",24.7777777777778,18.6189867250253,2.75625705744466,1.13546770274454,0.104410732720823,0.0418782146817798,0.122179271736062,0.0463075299742153,0.0390068739491962,0.0305628955127862,0.0418031602847223,0.0348598375992963,0.0552276304611941,0.0378297214951051,0.0550115860233378,0.0228637469470973
"862","25kPa","E2","09","10 uM","07","100","Fibronectin","FN",9.55555555555556,8.43274042711568,1.91232780356805,0.972836084650901,0.113228123594942,0.0431197230435464,0.131426345656139,0.0447266560828553,0.0583592385675227,0.0583282073543208,0.0643839937929933,0.0664034843520467,0.0791647777942835,0.0632527719136064,0.0617278335841499,0.0217697992795524
"863","25kPa","E2","09","10 uM","08","50/50","Hyaluronic AcidOsteopontin","HAOPN",42.1666666666667,44.3101443113074,3.12453147642728,1.66792589882726,0.106817031218387,0.0359918958245251,0.123795548862496,0.036757555324053,0.0411980798773492,0.0286032795872766,0.0448722441279819,0.0326363457842522,0.0620537267318341,0.0265731227331191,0.0568140505157564,0.0173958248992003
"864","25kPa","E2","09","10 uM","09","100","Collagen I","C1",210.111111111111,27.9583022851293,5.34171891363965,0.130954581338439,0.10106416223857,0.0306356200777138,0.120915256513706,0.0326524133409656,0.0418620180973748,0.0215170946675511,0.0440019742616146,0.0250642961631988,0.0540826555194607,0.0199604577330005,0.0580219873403573,0.0128728122824656
"865","25kPa","E2","09","10 uM","10","25/75","Tenascin COsteopontin","TCOPN",76.6666666666667,28.5832118559129,4.20192467455713,0.387095429702022,0.144178851679476,0.0496114591408876,0.166679874412107,0.0499300715310054,0.055816693225406,0.0325269694585093,0.0604621441028379,0.0374241760079099,0.0746918222126687,0.023201052891139,0.073495172220712,0.0117321720448545
"866","25kPa","E2","09","10 uM","11","75/25","DecorinFibronectin","DNFN",179.555555555556,63.4341303155398,5.13070616311543,0.364334084427176,0.0959559700714439,0.0310934096767184,0.115527472442275,0.0335117072106323,0.0439890473070626,0.0305904160176923,0.0463135094656663,0.0351935062930536,0.0511908479557361,0.0203316020506744,0.0567789587818804,0.013005977619764
"867","25kPa","E2","09","10 uM","12","100","Decorin","DN",6.61111111111111,4.16999866773227,1.55393214301636,0.925082531827301,0.114403162976751,NA,0.134884756040012,NA,0.0666294461870081,NA,0.0727444509398421,NA,0.0783063228643434,NA,0.0710593609170823,NA
"868","25kPa","E2","09","DMSO","02","50/50","Collagen IVLaminin","C4LN",142.666666666667,89.6895881483588,4.66524473077078,1.05947304286087,0.146234265664059,0.0451927567574891,0.168685451508355,0.0461879759823221,0.0939081764205248,0.0487222002817898,0.1043288909717,0.0552470837072548,NA,NA,0.120644996806251,0.0114200897141742
"869","25kPa","E2","09","DMSO","03","75/25","Collagen IOsteopontin","C1OPN",33.3333333333333,49.9988888765429,2.42302839274821,1.25991186930688,0.136010551071005,NA,0.15626370526712,NA,0.0821913599295397,NA,0.0909420132664498,NA,NA,NA,0.113299760391851,NA
"870","25kPa","E2","09","DMSO","04","25/75","Hyaluronic AcidGalectin 3","HAG3",105.333333333333,52.6455653930657,4.22283869492711,1.01807221925823,0.142875524075741,0.0448232947587992,0.164921900033447,0.04545712065699,0.0877266186743573,0.0464266865684323,0.0973963764222677,0.0527076302584365,NA,NA,0.109877170696315,0.00904495328234342
"871","25kPa","E2","09","DMSO","05","50/50","LamininDecorin","LNDN",21.8888888888889,12.2972444971311,2.78573898183424,0.613278045963732,0.116774569739665,0.0261089790861388,0.13826040066003,0.0274919993759539,0.078904180222049,0.0537693054871445,0.0874611277461116,0.0609949629225785,NA,NA,0.108713405864447,0.00732238937983511
"872","25kPa","E2","09","DMSO","06","75/25","Collagen IVDecorin","C4DN",25.5555555555556,18.4962458653401,2.80049768090784,0.70796008792551,0.143376670768853,0.04146474444458,0.165577312845471,0.0419222795662517,0.0914321991106846,0.0438258912400889,0.101644069361586,0.0499382107988891,NA,NA,0.111979262832208,0.0119313288074907
"873","25kPa","E2","09","DMSO","07","100","Fibronectin","FN",13.2777777777778,18.4285406668871,1.75763454927565,0.960679357891087,0.120446596994692,NA,0.141475151672912,NA,0.0942463379763287,NA,0.104514799142562,NA,NA,NA,0.101622229820998,NA
